,ID,Name,Age,Gender,City,Marks,Email,Join_Date
0,1,Ram,21,M,Kathmandu,85.0,ram@gmail.com,2025-01-10
1,2,Sita,22,F,Pokhara,90.0,sita@gmail.com,2025-01-12
2,3,Hari,20,M,Kathmandu,78.0,hari@gmail.com,2025-01-15
3,4,Gita,21,F,Lalitpur,88.0,gita@gmail.com,2025-01-18
4,5,Ram,21,M,Kathmandu,85.0,ram@gmail.com,2025-01-10
6,7,Suman,23,F,Pokhara,85.0,suman@gmail.com,2025-02-05
7,8,Prabin,22,M,Butwal,95.0,prabin@gmail.com,2025-02-10
8,9,Nisha,21,F,Kathmandu,82.0,nisha@gmail.com,2025-02-12
9,10,Bikash,24,M,Kathmandu,105.0,bikash@gmail.com,2025-02-15
10,11,Asha,21,F,Pokhara,89.0,asha@gmail.com,2025-02-18
11,12,Ramesh,21,M,Lalitpur,76.0,ramesh@gmail.com,2025-02-20
12,13,Sita,22,F,Pokhara,90.0,sita@gmail.com,2025-01-12
13,14,Kiran,20,M,Kathmandu,81.0,kiran@gmail.com,2025-03-01
